Date,Total P2PK addresses,Total P2PK coins
01/16/2009 18:13:22,743,0
01/16/2009 18:37:13,744,0
01/16/2009 18:57:30,745,0
01/16/2009 19:01:55,746,0
01/16/2009 19:18:35,747,0
01/16/2009 19:19:18,748,0
01/16/2009 19:34:09,749,0
01/16/2009 19:41:45,750,0
01/16/2009 19:59:29,751,0
01/16/2009 20:09:07,752,0
01/16/2009 20:24:04,753,0
01/16/2009 20:42:26,754,0
01/16/2009 20:53:24,755,0
01/16/2009 21:02:07,756,0
01/16/2009 21:12:46,757,0
01/16/2009 21:24:14,758,0
01/16/2009 21:39:20,759,0
01/16/2009 21:41:59,760,0
01/16/2009 22:01:48,761,0
01/16/2009 22:29:11,762,0
01/16/2009 22:54:20,763,0
01/16/2009 23:07:45,764,0
01/16/2009 23:33:00,765,0
01/16/2009 23:54:01,766,0
01/16/2009 23:55:02,767,0
01/17/2009 00:12:26,768,0
01/17/2009 00:32:23,769,0
01/17/2009 00:41:50,770,0
01/17/2009 00:47:05,771,0
01/17/2009 00:57:44,772,0
01/17/2009 01:10:34,773,0
01/17/2009 01:28:39,774,0
01/17/2009 01:42:19,775,0
01/17/2009 01:45:39,776,0
01/17/2009 01:53:41,777,0
01/17/2009 02:09:30,778,0
01/17/2009 02:20:40,779,0
01/17/2009 02:30:37,780,0
01/17/2009 02:51:38,781,0
01/17/2009 03:09:04,782,0
01/17/2009 03:17:56,783,0
01/17/2009 03:32:46,784,0
01/17/2009 03:50:42,785,0
01/17/2009 03:51:19,786,0
01/17/2009 04:14:37,787,0
01/17/2009 04:36:17,788,0
01/17/2009 04:55:40,789,0
01/17/2009 05:01:53,790,0
01/17/2009 05:03:56,791,0
01/17/2009 05:15:03,792,0
01/17/2009 05:21:36,793,0
01/17/2009 05:44:20,794,0
01/17/2009 05:57:45,795,0
01/17/2009 05:59:08,796,0
01/17/2009 06:08:55,797,0
01/17/2009 06:29:01,798,0
01/17/2009 06:49:24,799,0
01/17/2009 07:03:43,800,0
01/17/2009 07:24:52,801,0
01/17/2009 07:29:24,802,0
01/17/2009 07:56:43,803,0
01/17/2009 08:18:02,804,0
01/17/2009 08:20:28,805,0
01/17/2009 08:27:59,806,0
01/17/2009 08:28:16,807,0
01/17/2009 08:35:34,808,0
01/17/2009 08:48:03,809,0
01/17/2009 09:13:55,810,0
01/17/2009 09:35:50,811,0
01/17/2009 09:58:14,812,0
01/17/2009 10:20:25,813,0
01/17/2009 10:36:19,814,0
01/17/2009 10:47:03,815,0
01/17/2009 11:11:39,816,0
01/17/2009 11:37:14,817,0
01/17/2009 12:01:14,818,0
01/17/2009 12:18:25,819,0
01/17/2009 12:30:40,820,0
01/17/2009 12:37:35,821,0
01/17/2009 12:41:06,822,0
01/17/2009 12:43:42,823,0
01/17/2009 12:50:37,824,0
01/17/2009 13:13:48,825,0
01/17/2009 13:24:12,826,0
01/17/2009 13:37:30,827,0
01/17/2009 13:46:32,828,0
01/17/2009 13:53:10,829,0
01/17/2009 14:10:04,830,0
